id,Artist Name,Track Name,Popularity,duration,Class,id,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,id,Track Name,key,mode,time_signature
0,BrMa,track_1,60.0,234.596,6,0,0.8547449967721111,0.5634718008790636,0.873150158468718,0.0271517493024254,0.0171686746987951,,0.0703037691760642,0.9119809464637052,0.5580389873636089,0,track_1,1.0,major,type 4
1,De,track_1,66.0,173.968,6,1,0.8536690337852378,0.596511779252896,0.8341194379975543,0.0346640910066538,0.021285140562249,,0.1079955298181448,0.5702599150875013,0.4122784318799327,1,track_1,10.0,minor,type 4
2,DuAh,track_1,14.0,164.093,10,2,0.7062621045836024,0.8848606814245237,0.8885228719023732,0.0108392358875295,0.0616465863453815,,0.2410850350502895,0.8436367401884642,0.5255423297537413,2,track_1,1.0,minor,type 4
3,EyGo,track_1,34.0,206.875,10,3,0.5653109533032064,0.3802501026241753,0.8068178982306407,0.0247907276239536,0.4367469879518073,,0.1120593315046225,0.3144869006937972,0.6108972700219951,3,track_1,1.0,minor,type 4
4,HaLaBrdeLo,track_1,34.0,266.415,8,4,0.4329675059177965,0.3732416223630593,0.6958398842055351,0.0106245975531229,0.9528112449799196,0.9327308561554782,0.1171390836127197,0.1612301957129543,0.4980269116315176,4,track_1,11.0,minor,type 3
5,DuAha,track_1,14.0,179.32,10,5,0.7030342156229826,0.9389261005817038,0.9069651368820344,0.0150246834084567,0.110441767068273,4.8996033128547314e-06,0.3203291679366047,0.8923060992026509,0.4176747746582137,5,track_1,5.0,minor,type 4
6,EdBeZa,track_1,29.0,217.529,10,6,0.5491715085001077,0.4573433854964507,0.8489181702478101,0.000429276668813,0.5040160642570282,1.3554230476135018e-06,0.1201869348775779,0.1777984881433157,0.3371016086600249,6,track_1,9.0,minor,type 4
7,Da,track_1,70.0,157.693,6,7,0.8525930707983645,0.729672904214099,0.8522123231264506,0.0372397510195321,0.0219879518072289,,0.3254089200447019,0.3890442166304235,0.3339640746970285,7,track_1,1.0,major,type 4
8,Kr,track_1,29.0,138.0,6,8,0.8020228104153219,0.4473312708377137,0.761148960594944,0.0952994204764971,0.060441767068273,7.931734871219752e-07,0.09885197602357,0.7835766801284043,0.6979180144046232,8,track_1,7.0,major,type 4
9,R3,track_1,44.0,145.217,10,9,0.5341080266838822,0.1870162897105498,0.6935439594719373,0.009014810045074,0.4959839357429719,,0.1049476785532866,0.1715853784819302,0.5797106137059559,9,track_1,8.0,major,type 4
10,MCHa,track_1,73.0,257.36,10,10,0.8687325156014634,0.5164148619829995,0.6670659579246837,0.0690062245116978,0.004578313253012,0.0003393577704395,0.0718276948084933,0.8778088433260847,0.5530631388277913,10,track_1,11.0,minor,type 4
11,Ra,track_1,66.0,197.16,9,11,0.7245534753604477,0.7256680583506042,0.8344688178483193,0.0149173642412534,0.3805220883534136,1.58634697424395e-06,0.4625622269633242,0.9285492388940664,0.4865711390003018,11,track_1,7.0,major,type 4
12,MaGuKe,track_1,81.0,188.779,10,12,0.4921454701958253,0.8478158571871964,0.895859848768436,0.0310152393217428,0.0058333333333333,,0.2014629686071319,0.425287356321839,0.3522933109069738,12,track_1,10.0,major,type 4
13,Te,track_1,49.0,247.37,9,13,0.3490423929416829,0.9739685018872836,0.906016820144244,0.1264219789654432,0.0001536144578313,0.0002469881997873,0.2136543736665651,0.1415553484519001,0.885652520809074,13,track_1,1.0,minor,type 4
14,Dr,track_1,42.0,193.962,6,14,0.8590488487196041,0.5244245537099891,0.8140550522821991,0.1339343206696716,0.0444779116465863,0.0074086419765481,0.1841918114396017,0.3445169307238273,0.7564475783844395,14,track_1,,major,type 4
15,ThAySi,track_1,16.0,210.22699998,8,15,0.2554336130837099,0.0947045925569939,0.4900301964013875,0.0163125134148959,0.8473895582329317,0.8584335928048121,0.1120593315046225,0.2875634254944599,0.2701675507827661,15,track_1,,major,type 4
16,MoGu,track_1,47.0,169.05799997999998,8,16,0.2801807617817947,0.2410817088677299,0.6184522472611116,0.0203906417686198,0.9447791164658634,0.9337348732277844,0.1516813979477801,0.4273583928756342,0.2724209686462241,16,track_1,,major,type 4
17,IvLi,track_1,47.0,216.695,10,17,0.6470841403055736,0.4062816007368916,0.7653664745077488,0.0193174500965872,0.7158634538152611,,0.1008838768668089,0.3300196748472611,0.5246258679432441,17,track_1,4.0,major,type 4
18,Kv,track_1,44.0,233.929,9,18,0.319991392296105,0.9769721362849048,0.8350927104389708,0.1081777205408886,1.606425702811245e-05,0.8955822244801451,0.0907243726506146,0.2709951330640986,0.6967966964247208,18,track_1,1.0,minor,type 4
19,LiNa,track_1,44.0,174.242,10,19,0.4512588766946417,0.4433264249742188,0.8348930648099623,0.009014810045074,0.8604417670682731,,0.1272985878289139,0.2254323288806047,0.4170332513908655,19,track_1,,major,type 4
20,OmAd,track_1,37.0,205.04,10,20,0.588982139014418,0.5023979014607675,0.8122083302138704,0.0505473277527366,0.4477911646586345,,0.1598090013207355,0.4708501605053329,0.5663140984172165,20,track_1,2.0,major,type 4
21,ViMa,track_1,47.0,180.89500002,8,21,0.4673983214977405,0.0622653410626858,0.5178058945371964,0.0223223867782786,0.9879518072289156,0.9297188049385592,0.0958041247587117,0.1363777570674122,0.256986673567085,21,track_1,2.0,major,type 4
22,An,track_1,48.0,163.733,10,22,0.5760705831719389,0.7587080367244365,0.8910933093758578,0.0204979609358231,0.1415662650602409,,0.1587930508991161,0.5143419281350315,0.2716824082459999,22,track_1,11.0,minor,type 4
23,JuWR,track_1,77.0,202.193,6,23,0.6137292877125028,0.4453288479059663,0.7749245089965311,0.0127709808971882,0.3383534136546185,,0.1526973483693996,0.164336750543647,0.6065952904644843,23,track_1,1.0,major,type 4
24,BE,track_1,53.0,180.533,10,24,0.4964493221433184,0.5314330339711051,0.7102393251977739,0.0134148959004078,0.5652610441767068,0.0004357434093809,0.3762064411256731,0.3186289738013876,0.3484333893992323,24,track_1,9.0,minor,type 4
25,VaJa,track_1,20.0,214.73299998,4,25,0.337206800086077,0.7066450404990038,0.7583040103815727,0.0354153251770766,0.6706827309236949,3.5943811188565455e-05,0.3508076805851874,0.7576887232059646,0.3156024927761245,25,track_1,1.0,minor,type 4
26,ThDoPo,track_1,56.0,290.44,6,26,0.8256939961265333,0.5314330339711051,0.877866786454044,0.2992058381626958,0.0219879518072289,2.821287973180696e-05,0.113075281926242,0.6996996996996997,0.3056669685599689,26,track_1,2.0,major,type 4
27,TrBa,track_1,35.0,176.667,6,27,0.6933505487411233,0.5784899728671692,0.7641686007336976,0.4236960721184803,0.288152610441767,,0.1252666869856751,0.7183390286838562,0.6051774701341268,27,track_1,6.0,major,type 4
28,SnDo,track_1,63.0,298.307,6,28,0.9117710350763936,0.6946305029085192,0.8406079209403309,0.1199828289332474,0.2469879518072289,,0.0661383724474245,0.9761830796313554,0.379792556173718,28,track_1,11.0,minor,type 4
29,BrSpwi,track_1,41.0,284.83999998,10,29,0.7718958467828708,0.7096486748966249,0.8793142172643558,0.0737282678686413,0.0296184738955823,,0.1791120593315046,0.6779538158848504,0.5357959201276576,29,track_1,,major,type 4
30,Oc,track_1,42.0,198.345,9,30,0.4039165052722187,0.8888655272880185,0.8357665144368746,0.0259712384631895,2.3895582329317268e-05,0.0008744988699787,0.8679264451894748,0.3372683027855441,0.3414574977358002,30,track_1,11.0,minor,type 4
