id,Artist Name,Track Name,Popularity,duration,id,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,id,Track Name,key,mode,time_signature,Class
0,RaPlt,track_1,35.0,241.08,0,0.7148698084785884,0.5314330339711051,0.7442289935364728,0.0390641768619875,0.1576305220883534,0.0233925937676644,0.689119170984456,0.4532463497980739,0.5362056324664681,0,track_1,2.0,minor,type 4,10
1,TrTi,track_1,13.0,277.788,1,0.6395523993974608,0.6065238939116331,0.7962117241895634,0.0173857050869285,0.0001767068273092,0.8674697464555688,0.2431169358935284,0.4977736357046701,0.6112476818907145,1,track_1,5.0,major,type 4,9
2,Nah,track_1,21.0,295.673,2,0.5534753604476006,0.9889866738753892,0.8595243442888872,0.034342133505044,0.0002821285140562,0.2660635201440965,0.1293304886721528,0.1633012322667495,0.5364428343468323,2,track_1,2.0,major,type 4,9
3,JaSt,track_1,76.0,208.026,3,0.6944265117279966,0.3722404108971856,0.7707818621946045,0.0163125134148959,0.7259036144578314,0.8132528245510288,0.2776592502285889,0.5516205861033447,0.4824308879975848,3,track_1,7.0,major,type 4,10
4,Gos,track_1,48.0,274.48,4,0.6718312890036584,0.6585868901370658,0.8544583364527962,0.0002146383344065,0.0271084337349397,4.919683654300858e-06,0.1364421416234887,0.3113803458631045,0.4291305472894294,4,track_1,9.0,major,type 4,10
5,NaHaFeKh,track_1,45.0,249.10699998,5,0.7019582526361093,0.5284293995734839,0.7859050185919991,0.0192101309293839,0.7309236947791165,0.0530110974007002,0.3609671848013817,0.977218597908253,0.4194483978091171,5,track_1,2.0,major,type 4,10
6,Von,track_1,32.0,197.4,6,0.3221433182698515,0.8538231259824387,0.8311996206733049,0.0300493668169135,1.6867469879518073e-05,0.8182729099125602,0.0856446205425175,0.548514031272652,0.4401766075818346,6,track_1,5.0,major,type 4,9
7,IdAmian,track_6,34.0,263.24,7,0.6008177318700237,0.4683567116210614,0.7879014748820843,0.0032195750160978,0.5060240963855422,0.0002238958071243,0.1100274306613837,0.4470332401366884,0.4012431534911804,7,track_6,10.0,minor,type 4,10
8,BuBoyr,track_1,57.0,202.147,8,0.8235420701527868,0.6846183882497823,0.8670110553767063,0.0583816269585748,0.1556224899598393,0.0098082427793602,0.0876765213857563,0.2958475717096406,0.3853074998921809,8,track_1,2.0,major,type 4,10
9,KiKuSuKa,track_1,9.0,436.587,9,0.3415106520335701,0.893871584617387,0.8715529934366499,0.0856406954282034,0.8293172690763052,7.56024855446642e-05,0.3629990856446206,0.7649373511442477,0.6275607021175659,9,track_1,2.0,major,type 4,4
10,RuMi,track_1,85.0,183.83,10,0.892403701312675,0.7046426175672563,0.780339896683387,0.3957930886456321,0.3905622489959839,9.437760479679197e-06,0.0543533475566392,0.8249974112043077,0.5957648682451373,10,track_1,11.0,minor,type 4,6
11,StPa&ThBrBon,track_1,61.0,171.267,11,0.5523993974607274,0.7857407463030267,0.8883731376806169,0.0128783000643915,0.0636546184738955,0.2128506153118627,0.1029157777100477,0.6147872009940976,0.4298313710268685,11,track_1,7.0,major,type 4,10
12,ReWi,track_1,25.0,127.857,12,0.2629653539918227,0.978974559216652,0.9029971800054902,0.1038849538527581,9.95983935742972e-06,0.9568272658908292,0.3579193335365234,0.0202961582271927,0.5899210764652607,12,track_1,2.0,major,type 4,9
