id,Class
0,10.0
1,6.0
2,9.0
3,8.0
4,10.0
5,10.0
6,9.0
7,10.0
8,10.0
9,4.0
10,10.0
11,10.0
12,9.0
13,10.0
14,4.0
15,9.0
16,8.0
17,8.0
18,10.0
19,9.0
20,10.0
21,9.0
22,10.0
23,4.0
24,10.0
25,4.0
26,9.0
27,4.0
28,10.0
29,9.0
30,10.0
31,4.0
32,4.0
33,8.0
34,6.0
35,10.0
36,6.0
37,4.0
38,8.0
39,4.0
40,8.0
41,8.0
42,10.0
43,10.0
44,8.0
45,8.0
46,8.0
47,8.0
48,10.0
49,10.0
50,10.0
51,8.0
52,10.0
53,6.0
54,4.0
55,4.0
56,9.0
57,6.0
58,9.0
59,4.0
60,9.0
61,10.0
62,8.0
63,8.0
64,10.0
65,9.0
66,9.0
67,6.0
68,8.0
69,6.0
70,9.0
71,9.0
72,6.0
73,6.0
74,4.0
75,9.0
76,8.0
77,8.0
78,4.0
79,10.0
80,9.0
81,8.0
82,4.0
83,6.0
84,6.0
85,8.0
86,10.0
87,8.0
88,4.0
89,8.0
90,10.0
91,4.0
92,9.0
93,4.0
94,10.0
95,9.0
96,8.0
97,4.0
98,8.0
99,9.0
100,10.0
101,9.0
102,10.0
103,10.0
104,8.0
105,9.0
106,10.0
107,4.0
108,9.0
109,10.0
110,6.0
111,10.0
112,6.0
113,6.0
114,9.0
115,10.0
116,6.0
117,10.0
118,8.0
119,4.0
120,10.0
121,8.0
122,9.0
123,9.0
124,8.0
125,10.0
126,4.0
127,9.0
128,6.0
129,6.0
130,4.0
131,8.0
132,10.0
133,9.0
134,6.0
135,8.0
136,8.0
137,9.0
138,10.0
139,6.0
140,9.0
141,10.0
142,10.0
143,9.0
144,9.0
145,10.0
146,8.0
147,10.0
148,8.0
149,8.0
150,8.0
151,10.0
152,6.0
153,8.0
154,4.0
155,8.0
156,10.0
157,4.0
158,9.0
159,4.0
160,4.0
161,8.0
162,8.0
163,10.0
164,10.0
165,8.0
166,10.0
167,9.0
168,6.0
169,10.0
170,9.0
171,9.0
172,4.0
173,8.0
174,6.0
175,4.0
176,9.0
177,4.0
178,10.0
179,10.0
180,9.0
181,9.0
182,9.0
183,6.0
184,9.0
185,6.0
186,10.0
187,10.0
188,9.0
189,6.0
190,8.0
191,10.0
192,9.0
193,8.0
194,6.0
195,8.0
196,4.0
197,10.0
198,8.0
199,9.0
200,8.0
201,9.0
202,9.0
203,10.0
204,8.0
205,9.0
206,6.0
207,10.0
208,10.0
209,9.0
210,10.0
211,9.0
212,4.0
213,6.0
214,10.0
215,4.0
216,10.0
217,10.0
218,9.0
219,6.0
220,8.0
221,8.0
222,10.0
223,6.0
224,6.0
225,8.0
226,10.0
227,9.0
228,10.0
229,8.0
230,9.0
231,10.0
232,9.0
233,8.0
234,10.0
235,4.0
236,8.0
237,4.0
238,4.0
239,9.0
240,10.0
241,6.0
242,4.0
243,4.0
244,6.0
245,6.0
246,10.0
247,10.0
248,8.0
249,9.0
250,4.0
251,4.0
252,6.0
253,4.0
254,9.0
255,9.0
256,9.0
257,9.0
258,8.0
259,8.0
260,10.0
261,4.0
262,10.0
263,10.0
264,6.0
265,4.0
266,8.0
267,8.0
268,4.0
269,8.0
270,4.0
271,9.0
272,10.0
273,4.0
274,6.0
275,10.0
276,6.0
277,8.0
278,6.0
279,8.0
280,9.0
281,10.0
282,9.0
283,4.0
284,8.0
285,8.0
286,10.0
287,8.0
288,6.0
289,10.0
290,10.0
291,10.0
292,10.0
293,8.0
294,9.0
295,6.0
296,8.0
297,10.0
298,6.0
299,10.0
300,9.0
301,8.0
302,6.0
303,9.0
304,9.0
305,10.0
306,8.0
307,9.0
308,8.0
309,4.0
310,9.0
311,9.0
312,4.0
313,10.0
314,9.0
315,8.0
316,9.0
317,9.0
318,9.0
319,9.0
320,9.0
321,10.0
322,9.0
323,9.0
324,8.0
325,6.0
326,6.0
327,10.0
328,8.0
329,8.0
330,6.0
331,4.0
332,9.0
333,10.0
334,8.0
335,4.0
336,8.0
337,9.0
338,4.0
339,8.0
340,8.0
341,4.0
342,8.0
343,9.0
344,9.0
345,10.0
346,9.0
347,6.0
348,8.0
349,8.0
350,9.0
351,10.0
352,9.0
353,6.0
354,10.0
355,8.0
356,10.0
357,8.0
358,6.0
359,6.0
360,6.0
361,6.0
362,6.0
363,8.0
364,9.0
365,9.0
366,10.0
367,9.0
368,8.0
369,6.0
370,9.0
371,8.0
372,8.0
373,6.0
374,8.0
375,10.0
376,6.0
377,4.0
378,8.0
379,10.0
380,4.0
381,8.0
382,8.0
383,6.0
384,10.0
385,6.0
386,9.0
387,10.0
388,10.0
389,9.0
390,6.0
391,6.0
392,9.0
393,10.0
394,9.0
395,4.0
396,6.0
397,9.0
398,6.0
399,10.0
400,8.0
401,6.0
402,9.0
403,8.0
404,10.0
405,8.0
406,9.0
407,10.0
408,4.0
409,10.0
410,10.0
411,10.0
412,10.0
413,8.0
414,6.0
415,4.0
416,10.0
417,8.0
418,10.0
419,8.0
420,8.0
421,6.0
422,6.0
423,4.0
424,10.0
425,10.0
426,9.0
427,10.0
428,10.0
429,8.0
430,10.0
431,6.0
432,10.0
433,8.0
434,8.0
435,10.0
436,8.0
437,4.0
438,8.0
439,6.0
440,9.0
441,9.0
442,10.0
443,10.0
444,10.0
445,6.0
446,10.0
447,4.0
448,8.0
449,6.0
450,10.0
451,9.0
452,6.0
453,10.0
454,10.0
455,10.0
456,9.0
457,8.0
458,9.0
459,9.0
460,6.0
461,9.0
462,10.0
463,10.0
464,10.0
465,8.0
466,6.0
467,9.0
468,10.0
469,8.0
470,9.0
471,10.0
472,10.0
473,10.0
474,9.0
475,8.0
476,8.0
477,6.0
478,8.0
479,6.0
480,10.0
481,9.0
482,10.0
483,4.0
484,9.0
485,10.0
486,6.0
487,10.0
488,4.0
