0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
60.0,234.596,0.8547449967721111,0.5634718008790636,0.873150158468718,0.0271517493024254,0.0171686746987951,0.001725919403533492,0.0703037691760642,0.9119809464637052,0.5580389873636089,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0
66.0,173.968,0.8536690337852378,0.596511779252896,0.8341194379975543,0.0346640910066538,0.021285140562249,0.13843118717990682,0.1079955298181448,0.5702599150875013,0.4122784318799327,9.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0
14.0,164.093,0.7062621045836024,0.8848606814245237,0.8885228719023732,0.0108392358875295,0.0616465863453815,0.16255630176335517,0.2410850350502895,0.8436367401884642,0.5255423297537413,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0
34.0,206.875,0.5653109533032064,0.3802501026241753,0.8068178982306407,0.0247907276239536,0.4367469879518073,0.023652453466318717,0.1120593315046225,0.3144869006937972,0.6108972700219951,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0
34.0,266.415,0.4329675059177965,0.3732416223630593,0.6958398842055351,0.0106245975531229,0.9528112449799196,0.9327308561554782,0.1171390836127197,0.1612301957129543,0.4980269116315176,10.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0
14.0,179.32,0.7030342156229826,0.9389261005817038,0.9069651368820344,0.0150246834084567,0.110441767068273,4.8996033128547314e-06,0.3203291679366047,0.8923060992026509,0.4176747746582137,4.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0
29.0,217.529,0.5491715085001077,0.4573433854964507,0.8489181702478101,0.000429276668813,0.5040160642570282,1.3554230476135018e-06,0.1201869348775779,0.1777984881433157,0.3371016086600249,8.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0
70.0,157.693,0.8525930707983645,0.729672904214099,0.8522123231264506,0.0372397510195321,0.0219879518072289,0.3375892244871732,0.3254089200447019,0.3890442166304235,0.3339640746970285,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0
29.0,138.0,0.8020228104153219,0.4473312708377137,0.761148960594944,0.0952994204764971,0.060441767068273,7.931734871219752e-07,0.09885197602357,0.7835766801284043,0.6979180144046232,6.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0
44.0,145.217,0.5341080266838822,0.1870162897105498,0.6935439594719373,0.009014810045074,0.4959839357429719,0.558676852085193,0.1049476785532866,0.1715853784819302,0.5797106137059559,7.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0
73.0,257.36,0.8687325156014634,0.5164148619829995,0.6670659579246837,0.0690062245116978,0.004578313253012,0.0003393577704395,0.0718276948084933,0.8778088433260847,0.5530631388277913,10.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0
66.0,197.16,0.7245534753604477,0.7256680583506042,0.8344688178483193,0.0149173642412534,0.3805220883534136,1.58634697424395e-06,0.4625622269633242,0.9285492388940664,0.4865711390003018,6.0,0.0,0.0,1.0,0.0,1.0,0.0,9.0
81.0,188.779,0.4921454701958253,0.8478158571871964,0.895859848768436,0.0310152393217428,0.0058333333333333,0.17505812756840117,0.2014629686071319,0.425287356321839,0.3522933109069738,9.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0
49.0,247.37,0.3490423929416829,0.9739685018872836,0.906016820144244,0.1264219789654432,0.0001536144578313,0.0002469881997873,0.2136543736665651,0.1415553484519001,0.885652520809074,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0
42.0,193.962,0.8590488487196041,0.5244245537099891,0.8140550522821991,0.1339343206696716,0.0444779116465863,0.0074086419765481,0.1841918114396017,0.3445169307238273,0.7564475783844395,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0
